id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,image,cry
42,golbat,poison,flying,75,80,70,65,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/42.ogg
43,oddish,grass,poison,45,50,55,75,65,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/43.ogg
44,gloom,grass,poison,60,65,70,85,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/44.ogg
45,vileplume,grass,poison,75,80,85,110,90,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/45.ogg
46,paras,bug,grass,35,70,55,45,55,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/46.ogg
47,parasect,bug,grass,60,95,80,60,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/47.ogg
48,venonat,bug,poison,60,55,50,40,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/48.ogg
49,venomoth,bug,poison,70,65,60,90,75,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/49.ogg
50,diglett,ground,,10,55,25,35,45,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/50.ogg
51,dugtrio,ground,,35,100,50,50,70,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/51.ogg
52,meowth,normal,,40,45,35,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/52.ogg
53,persian,normal,,65,70,60,65,65,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/53.ogg
54,psyduck,water,,50,52,48,65,50,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/54.ogg
55,golduck,water,,80,82,78,95,80,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/55.ogg
56,mankey,fighting,,40,80,35,35,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/56.ogg
57,primeape,fighting,,65,105,60,60,70,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/57.ogg
58,growlithe,fire,,55,70,45,70,50,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/58.ogg
59,arcanine,fire,,90,110,80,100,80,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/59.ogg
60,poliwag,water,,40,50,40,40,40,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/60.ogg
61,poliwhirl,water,,65,65,65,50,50,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/61.ogg
62,poliwrath,water,fighting,90,95,95,70,90,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/62.ogg
63,abra,psychic,,25,20,15,105,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/63.ogg
64,kadabra,psychic,,40,35,30,120,70,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/64.ogg
65,alakazam,psychic,,55,50,45,135,95,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/65.ogg
66,machop,fighting,,70,80,50,35,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/66.ogg
67,machoke,fighting,,80,100,70,50,60,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/67.ogg
68,machamp,fighting,,90,130,80,65,85,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/68.ogg
69,bellsprout,grass,poison,50,75,35,70,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/69.ogg
70,weepinbell,grass,poison,65,90,50,85,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/70.ogg
71,victreebel,grass,poison,80,105,65,100,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/71.ogg
72,tentacool,water,poison,40,40,35,50,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/72.ogg
73,tentacruel,water,poison,80,70,65,80,120,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/73.ogg
74,geodude,rock,ground,40,80,100,30,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/74.ogg
75,graveler,rock,ground,55,95,115,45,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/75.ogg
76,golem,rock,ground,80,120,130,55,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/76.ogg
77,ponyta,fire,,50,85,55,65,65,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/77.ogg
78,rapidash,fire,,65,100,70,80,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/78.ogg
79,slowpoke,water,psychic,90,65,65,40,40,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/79.ogg
80,slowbro,water,psychic,95,75,110,100,80,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/80.ogg
81,magnemite,electric,steel,25,35,70,95,55,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/81.ogg
82,magneton,electric,steel,50,60,95,120,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/82.ogg
83,farfetchd,normal,flying,52,90,55,58,62,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/83.ogg
84,doduo,normal,flying,35,85,45,35,35,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/84.ogg
85,dodrio,normal,flying,60,110,70,60,60,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/85.ogg
86,seel,water,,65,45,55,45,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/86.ogg
87,dewgong,water,ice,90,70,80,70,95,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/87.ogg
88,grimer,poison,,80,80,50,40,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/88.ogg
89,muk,poison,,105,105,75,65,100,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/89.ogg
90,shellder,water,,30,65,100,45,25,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/90.ogg
91,cloyster,water,ice,50,95,180,85,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/91.ogg
92,gastly,ghost,poison,30,35,30,100,35,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/92.ogg
93,haunter,ghost,poison,45,50,45,115,55,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/93.ogg
94,gengar,ghost,poison,60,65,60,130,75,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/94.ogg
95,onix,rock,ground,35,45,160,30,45,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/95.ogg
96,drowzee,psychic,,60,48,45,43,90,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/96.ogg
97,hypno,psychic,,85,73,70,73,115,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/97.ogg
98,krabby,water,,30,105,90,25,25,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/98.ogg
99,kingler,water,,55,130,115,50,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/99.ogg
100,voltorb,electric,,40,30,50,55,55,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/100.ogg
101,electrode,electric,,60,50,70,80,80,150,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/101.ogg
102,exeggcute,grass,psychic,60,40,80,60,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/102.ogg
103,exeggutor,grass,psychic,95,95,85,125,75,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/103.ogg
104,cubone,ground,,50,50,95,40,50,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/104.ogg
105,marowak,ground,,60,80,110,50,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/105.ogg
106,hitmonlee,fighting,,50,120,53,35,110,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/106.ogg
107,hitmonchan,fighting,,50,105,79,35,110,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/107.ogg
108,lickitung,normal,,90,55,75,60,75,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/108.ogg
109,koffing,poison,,40,65,95,60,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/109.ogg
110,weezing,poison,,65,90,120,85,70,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/110.ogg
111,rhyhorn,ground,rock,80,85,95,30,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/111.ogg
112,rhydon,ground,rock,105,130,120,45,45,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/112.ogg
113,chansey,normal,,250,5,5,35,105,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/113.ogg
114,tangela,grass,,65,55,115,100,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/114.ogg
115,kangaskhan,normal,,105,95,80,40,80,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/115.ogg
116,horsea,water,,30,40,70,70,25,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/116.ogg
117,seadra,water,,55,65,95,95,45,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/117.ogg
118,goldeen,water,,45,67,60,35,50,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/118.ogg
119,seaking,water,,80,92,65,65,80,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/119.ogg
120,staryu,water,,30,45,55,70,55,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/120.ogg
121,starmie,water,psychic,60,75,85,100,85,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/121.ogg
122,mr-mime,psychic,fairy,40,45,65,100,120,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/122.ogg
123,scyther,bug,flying,70,110,80,55,80,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/123.ogg
124,jynx,ice,psychic,65,50,35,115,95,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/124.ogg
125,electabuzz,electric,,65,83,57,95,85,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/125.ogg
126,magmar,fire,,65,95,57,100,85,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/126.ogg
127,pinsir,bug,,65,125,100,55,70,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/127.ogg
128,tauros,normal,,75,100,95,40,70,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/128.ogg
129,magikarp,water,,20,10,55,15,20,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/129.ogg
130,gyarados,water,flying,95,125,79,60,100,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/130.ogg
